days,date,hol_type,holidays,states
Friday,Jan 01,Regional Holiday,New Year's Day,Several states
Saturday,Jan 02,Regional Holiday,New Year Celebration,Several states
Monday,Jan 04,Regional Holiday,Barahimizong,Sikkim
Monday,Jan 11,Regional Holiday,Missionary Day,Mizoram
Tuesday,Jan 12,Regional Holiday,Birthday of Swami Vivekananda,West Bengal only.
Wednesday,Jan 13,Regional Holiday,Bhogi,Some states
Thursday,Jan 14,Regional Holiday,Pongal,
Thursday,Jan 14,Regional Holiday,Sankranti,Several states
Friday,Jan 15,Regional Holiday,Tusu Puja,Assam only
Friday,Jan 15,Regional Holiday,Thiruvalluvar Day,"Puducherry, Tamil Nadu"
Saturday,Jan 16,Regional Holiday,Uzhavar Tirunal,Tamil Nadu
Wednesday,Jan 20,Regional Holiday,Guru Gobind Singh Jayanti,Several states
Saturday,Jan 23,Regional Holiday,Netaji Subhas Chandra Bose Jayanti,"Assam, Odisha, Tripura, West Bengal"
Monday,Jan 25,Regional Holiday,Statehood Day,Himachal Pradesh only
Monday,Jan 25,Regional Holiday,Imoinu Iratpa,Manipur
Tuesday,Jan 26,Regional Holiday,Gann-Ngai,Manipur
Thursday,Jan 28,Regional Holiday,Thaipoosam,Several states
Sunday,Jan 31,Regional Holiday,Me-dam-me-phi,Assam
Friday,Feb 12,Regional Holiday,Sonam Lhosar,
Friday,Feb 12,Regional Holiday,Losar,Tibetan New Year
Monday,Feb 15,Regional Holiday,Lui-Ngai-Ni,Manipur
Tuesday,Feb 16,Regional Holiday,Vasant Panchami,Several states
Friday,Feb 19,Regional Holiday,Chahhtrapati Shivaji Maharaj Jayanti,Maharashtra only
Saturday,Feb 20,Regional Holiday,Mizoram State Day,Mizoram
Saturday,Feb 20,Regional Holiday,Statehood Day,Arunachal Pradesh
Friday,Feb 26,Regional Holiday,Imam Ali's Birthday,Uttar Pradesh only
Saturday,Feb 27,Regional Holiday,Bir Chilarai Divas,Assam
Saturday,Feb 27,Regional Holiday,Bhumchu Festival,Sikkim
Saturday,Feb 27,Regional Holiday,Guru Ravidas Jayanti,Several states.  Full moon of Magh
Friday,Mar 05,Regional Holiday,Chapchar Kut,Mizoram
Friday,Mar 05,Regional Holiday,Panchayati Raj Diwas,Odisha
Thursday,Mar 11,Regional Holiday,Shab-I-Miraj,The Prophet's Ascension
Thursday,Mar 11,Regional Holiday,Maha Shivratri,Most states
Sunday,Mar 21,Regional Holiday,Nauroz,
Monday,Mar 22,Regional Holiday,Bihar Divas,Bihar Only
Tuesday,Mar 23,Regional Holiday,"Shaheedi Diwas of Bhagat Singh, Rajguru and Sukhdev",Haryana
Sunday,Mar 28,Regional Holiday,Holi Dahan,Day before Holi
Sunday,Mar 28,Regional Holiday,Doljatra,
Monday,Mar 29,Regional Holiday,Shab e-Barat,15 Sha'aban
Monday,Mar 29,Regional Holiday,Holi,
Monday,Mar 29,Regional Holiday,Yaosang 2nd Day,Manipur
